Elapsed Time:	package-0	Energy Counter(mJ):	max:	min:	average:	standarddeviation:	Energy Total(mJ):	Power(mJ):	max:	min:	average:	standarddeviation:	core:	Energy Counter(mJ)	max:	min:	average:	standarddeviation:	Total Energy(mj)	Power(mJ)	max:	min:	average:	standarddeviation:	uncore:	Energy Counter(mJ)	max:	min:	average:	standarddeviation:	Total Energy(mj)	Power(mJ)	max:	min:	average:	standarddeviation:	dram:	Energy Counter(mJ)	max:	min:	average:	standarddeviation:	Total Energy(mj)	Power(mJ)	max:	min:	average:	standarddeviation:		B0D4(Average mC)	INT3400 Thermal(Average mC)	TAMB(Average mC)	TEFN(Average mC)	TMEM(Average mC)	TSKN(Average mC)	T_VR(Average mC)	acpitz(Average mC)	pch_wildcat_point(Average mC)	x86_pkg_temp(Average mC)		microVoltage	max:	min:	avg:	stdDev:microCurrent	max:	min:	avg:	stdDev:power	max:	min:	avg:	stdDev:	BytesReceived	max:	min:	average:	stdDev:	BytesSent	max:	min:	average:	stdDev:	TotalBytesReceived	TotalBytesSent		
12000					9767402	9686765	9723918	40689	116544479			0	0	0	0					8135677	8064919	8097561	35695	97055773	0	0	0	0					480	480	480	0	6569	0	0	0	0					1862137	1832253	1847299	14943	22180522	0	0	0	0		88000	20000	57000	88000	26800	88000	88000	25000	72500	88000				7808000	7765000	7787667	21594		2063000	2049000	2058000	7810		16.100096	15.910485	16.027117	0.102065			0	0	0	0			0	0	0	0	0	0		
13000					9709545	9676357	9693764	16653	126238243			0	0	0	0					8086747	8055658	8072677	15753	105128450	0	0	0	0					0	0	0	0	6569	0	0	0	0					1853855	1837645	1847752	8815	24028274	0	0	0	0		88000	20000	57000	88000	26800	88000	88000	25000	72500	88000				7807000	7765000	7788000	21283		2074000	2043000	2054666	16862		16.104610	15.919056	16.001532	0.094477			0	0	0	0			0	0	0	0	0	0		
14000					9814909	9707328	9759809	53838	135998052			0	0	0	0					8177246	8080649	8128548	48303	113256998	0	0	0	0					0	0	0	0	6569	0	0	0	0					1867250	1853757	1860719	6757	25888993	0	0	0	0		88000	20000	57000	52000	26800	58000	47000	25000	72500	87000				7806000	7772000	7787000	17349		2055000	2031000	2043333	12014		15.971460	15.807273	15.911399	0.090530			0	0	0	0			0	0	0	0	0	0		
15000					9742111	9701869	9724992	20782	145723044			0	0	0	0					8116093	8073511	8097533	21810	121354531	0	0	0	0					0	0	0	0	6569	0	0	0	0					1849312	1840393	1844777	4461	27733770	0	0	0	0		88000	20000	57000	88000	26800	88000	88000	25000	72500	88000				7806000	7774000	7789667	16010		2067000	2056000	2061667	5507		16.099863	15.983344	16.059726	0.066178			0	0	0	0			0	0	0	0	0	0		
16000					9745415	9715498	9731958	15183	155455002			0	0	0	0					8113389	8086956	8102736	13942	129457267	0	0	0	0					0	0	0	0	6569	0	0	0	0					1865952	1854899	1858723	6264	29592493	0	0	0	0		88000	20000	57000	88000	26800	88000	88000	25000	72500	88000				7804000	7773000	7789334	15567		2059000	2037000	2045000	12165		16.004607	15.870267	15.929077	0.068713			0	0	0	0			0	0	0	0	0	0		
17000					9736372	9642508	9694361	47699	165149363			0	0	0	0					8109193	8028565	8072690	40850	137529957	0	0	0	0					0	0	0	0	6569	0	0	0	0					1857276	1836937	1844641	11030	31437134	0	0	0	0		88000	20000	57000	88000	26800	88000	88000	25000	72500	87000				7808000	7769000	7788667	19502		2057000	2033000	2047000	12489		16.014208	15.835037	15.943359	0.095283			0	0	0	0			0	0	0	0	0	0		
18000					9753944	9731718	9742731	11114	174892094			0	0	0	0					8125524	8102695	8114150	11414	145644107	0	0	0	0					0	0	0	0	6569	0	0	0	0					1862048	1843185	1852857	9440	33289991	0	0	0	0		88000	20000	57000	88000	26800	88000	88000	25000	72500	88000				7806000	7772000	7789000	17000		2062000	2038000	2048666	12220		16.025864	15.873982	15.956974	0.076917			0	0	0	0			0	0	0	0	0	0		
19000					9836947	9697416	9757163	71891	184649257			0	0	0	0					8213105	8071817	8134293	72047	153778400	0	0	0	0					0	0	0	0	6569	0	0	0	0					1872419	1853637	1860719	10207	35150710	0	0	0	0		88000	20000	57000	88000	26800	88000	88000	25000	72500	88000				7804000	7771000	7788667	16623		2065000	2033000	2048333	16041		16.047115	15.839103	15.953669	0.105602			0	0	0	0			0	0	0	0	0	0		
20000					9751722	9701394	9724909	25325	194374166			0	0	0	0					8122040	8066313	8095040	27903	161873440	0	0	0	0					0	0	0	0	6569	0	0	0	0					1849180	1843185	1845780	3078	36996490	0	0	0	0		88000	20000	57000	88000	26800	88000	88000	25000	72500	88000				7805000	7772000	7789334	16563		2071000	2049000	2060666	11060		16.095812	15.992445	16.051100	0.053075			0	0	0	0			0	0	0	0	0	0		
21000					9741029	9654970	9706669	45574	204080835			0	0	0	0					8113569	8037332	8082997	40297	169956437	0	0	0	0					0	0	0	0	6569	0	0	0	0					1850037	1847854	1849247	1211	38845737	0	0	0	0		88000	20000	57000	88000	26800	88000	88000	25000	72500	88000				7806000	7769000	7788667	18610		2071000	2034000	2049666	19140		16.089599	15.877404	15.963936	0.111378			0	0	0	0			0	0	0	0	0	0		
